DBN,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Latitude,Longitude,SATmath,SATall
16K393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.692126,-73.931731,355.0,356.0
02M418,0.0,0.0,0.0,0.0,0.0,0.33,1.32,1.76,0.83,0.59,40.704487,-74.011556,553.0,538.0
02M418,0.0,0.0,0.0,0.0,0.0,0.31,1.12,1.82,0.79,0.51,40.704487,-74.011556,553.0,538.0
02M418,0.0,0.0,0.0,0.0,0.0,0.28,1.11,1.74,0.75,0.53,40.704487,-74.011556,553.0,538.0
16K594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.680463,-73.922264,372.0,364.3333333333333
14K586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.709941,-73.943641,377.0,367.6666666666667
14K454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.709941,-73.943641,386.0,396.3333333333333
14K449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.709941,-73.943641,584.0,580.0
23K493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.674103,-73.913273,409.0,395.0
14K071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.703624,-73.95314599999999,361.0,361.6666666666667
14K071,0.0,7.0,6.0,5.0,2.0,0.31,1.12,1.82,0.79,0.51,40.703624,-73.95314599999999,361.0,361.6666666666667
14K071,1.0,5.0,5.0,3.0,3.0,0.28,1.11,1.74,0.75,0.53,40.703624,-73.95314599999999,361.0,361.6666666666667
13K412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.692642,-73.958794,355.0,371.3333333333333
15K448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.68007,-74.001377,399.0,393.0
23K697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.665878,-73.911705,416.0,398.6666666666667
23K514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.665878,-73.911705,371.0,363.6666666666667
19K683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.670724,-73.874208,400.0,385.6666666666667
18K589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.658429999999996,-73.929076,360.0,360.0
18K635,0.0,1.0,0.0,1.0,0.0,0.43,1.03,1.23,0.99,0.41,40.645685,-73.8989,370.0,380.0
13K265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.696324,-73.97578,349.0,358.0
13K265,0.0,5.0,6.0,1.0,4.0,0.27,1.11,1.38,0.8,0.48,40.696324,-73.97578,349.0,358.0
13K265,0.0,5.0,3.0,2.0,3.0,0.27,0.9,1.67,0.63,0.44,40.696324,-73.97578,349.0,358.0
23K647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.656068,-73.90724499999999,346.0,342.6666666666667
